YEAR,STATE,ANSI,1000ACRES_PLANTED,1000ACRES_HARVESTED
2025,ALABAMA,1,"1,960","1,891"
2025,ALASKA,2,30,29
2025,ARIZONA,4,558,554
2025,ARKANSAS,5,"6,632","6,515"
2025,CALIFORNIA,6,"2,254","2,046"
2025,COLORADO,8,"5,807","5,450"
2025,CONNECTICUT,9,68,64
2025,DELAWARE,10,398,376
2025,FLORIDA,12,"1,052","1,038"
2025,GEORGIA,13,"3,180","2,980"
2025,HAWAII,15,,
2025,IDAHO,16,"4,056","3,917"
2025,ILLINOIS,17,"22,780","22,484"
2025,INDIANA,18,"11,720","11,580"
2025,IOWA,19,"24,130","23,890"
2025,KANSAS,20,"23,957","23,073"
2025,KENTUCKY,21,"6,134","5,934"
2025,LOUISIANA,22,"3,112","3,050"
2025,MAINE,23,232,225
2025,MARYLAND,24,"1,456","1,273"
2025,MASSACHUSETTS,25,63,60
2025,MICHIGAN,26,"6,205","6,105"
2025,MINNESOTA,27,"19,806","19,414"
2025,MISSISSIPPI,28,"3,860","3,779"
2025,MISSOURI,29,"13,620","13,289"
2025,MONTANA,30,"8,895","8,254"
2025,NEBRASKA,31,"19,542","19,112"
2025,NEVADA,32,371,369
2025,NEW HAMPSHIRE,33,48,46
2025,NEW JERSEY,34,276,273
2025,NEW MEXICO,35,768,541
2025,NEW YORK,36,"2,599","2,510"
2025,NORTH CAROLINA,37,"4,043","3,890"
2025,NORTH DAKOTA,38,"24,231","23,691"
2025,OHIO,39,"9,740","9,620"
2025,OKLAHOMA,40,"9,515","7,846"
2025,OREGON,41,"1,727","1,702"
2025,PENNSYLVANIA,42,"3,245","2,932"
2025,RHODE ISLAND,44,8,7
2025,SOUTH CAROLINA,45,"1,345","1,295"
2025,SOUTH DAKOTA,46,"17,197","16,576"
2025,TENNESSEE,47,"4,753","4,598"
2025,TEXAS,48,"21,573","16,542"
2025,UTAH,49,866,842
2025,VERMONT,50,253,242
2025,VIRGINIA,51,"2,431","2,319"
2025,WASHINGTON,53,"3,732","3,642"
2025,WEST VIRGINIA,54,656,654
2025,WISCONSIN,55,"8,080","7,674"
2025,WYOMING,56,"1,247","1,192"
2024,ALABAMA,1,"2,030","1,958"
2024,ALASKA,2,30,28
2024,ARIZONA,4,562,558
2024,ARKANSAS,5,"7,053","6,934"
2024,CALIFORNIA,6,"2,484","2,208"
2024,COLORADO,8,"5,951","5,484"
2024,CONNECTICUT,9,74,70
2024,DELAWARE,10,421,392
2024,FLORIDA,12,"1,050","1,034"
2024,GEORGIA,13,"3,185","2,993"
2024,HAWAII,15,,
2024,IDAHO,16,"4,137","4,003"
2024,ILLINOIS,17,"22,865","22,652"
2024,INDIANA,18,"11,790","11,680"
2024,IOWA,19,"24,095","23,823"
2024,KANSAS,20,"23,899","22,836"
2024,KENTUCKY,21,"6,112","5,902"
2024,LOUISIANA,22,"3,091","3,000"
2024,MAINE,23,232,223
2024,MARYLAND,24,"1,486","1,299"
2024,MASSACHUSETTS,25,63,60
2024,MICHIGAN,26,"6,186","6,093"
2024,MINNESOTA,27,"19,221","18,851"
2024,MISSISSIPPI,28,"4,151","4,076"
2024,MISSOURI,29,"13,628","13,298"
2024,MONTANA,30,"9,457","8,940"
2024,NEBRASKA,31,"19,467","19,029"
2024,NEVADA,32,370,367
2024,NEW HAMPSHIRE,33,51,50
2024,NEW JERSEY,34,272,264
2024,NEW MEXICO,35,807,563
2024,NEW YORK,36,"2,733","2,680"
2024,NORTH CAROLINA,37,"4,228","4,014"
2024,NORTH DAKOTA,38,"23,305","22,805"
2024,OHIO,39,"9,860","9,725"
2024,OKLAHOMA,40,"9,815","7,738"
2024,OREGON,41,"1,895","1,853"
2024,PENNSYLVANIA,42,"3,379","3,109"
2024,RHODE ISLAND,44,8,7
2024,SOUTH CAROLINA,45,"1,382","1,317"
2024,SOUTH DAKOTA,46,"16,836","16,232"
2024,TENNESSEE,47,"4,823","4,713"
2024,TEXAS,48,"21,194","14,649"
2024,UTAH,49,910,888
2024,VERMONT,50,244,235
2024,VIRGINIA,51,"2,347","2,176"
2024,WASHINGTON,53,"3,709","3,639"
2024,WEST VIRGINIA,54,648,640
2024,WISCONSIN,55,"7,968","7,517"
2024,WYOMING,56,"1,192","1,143"
2023,ALABAMA,1,"2,120","2,034"
2023,ALASKA,2,27,26
2023,ARIZONA,4,597,592
2023,ARKANSAS,5,"7,211","7,072"
2023,CALIFORNIA,6,"2,411","2,044"
2023,COLORADO,8,"5,950","5,245"
2023,CONNECTICUT,9,77,73
2023,DELAWARE,10,438,415
2023,FLORIDA,12,"1,087","1,073"
2023,GEORGIA,13,"3,296","3,115"
2023,HAWAII,15,,
2023,IDAHO,16,"4,057","3,852"
2023,ILLINOIS,17,"22,855","22,647"
2023,INDIANA,18,"11,885","11,775"
2023,IOWA,19,"24,250","23,915"
2023,KANSAS,20,"25,024","21,505"
2023,KENTUCKY,21,"6,147","5,967"
2023,LOUISIANA,22,"3,214","3,136"
2023,MAINE,23,242,234
2023,MARYLAND,24,"1,526","1,343"
2023,MASSACHUSETTS,25,68,65
2023,MICHIGAN,26,"6,270","6,160"
2023,MINNESOTA,27,"19,444","19,117"
2023,MISSISSIPPI,28,"4,209","4,112"
2023,MISSOURI,29,"14,657","14,284"
2023,MONTANA,30,"9,707","9,214"
2023,NEBRASKA,31,"19,473","18,763"
2023,NEVADA,32,393,391
2023,NEW HAMPSHIRE,33,54,53
2023,NEW JERSEY,34,305,298
2023,NEW MEXICO,35,855,509
2023,NEW YORK,36,"2,730","2,659"
2023,NORTH CAROLINA,37,"4,397","4,237"
2023,NORTH DAKOTA,38,"24,077","23,512"
2023,OHIO,39,"9,850","9,705"
2023,OKLAHOMA,40,"10,724","7,914"
2023,OREGON,41,"1,852","1,803"
2023,PENNSYLVANIA,42,"3,395","3,111"
2023,RHODE ISLAND,44,8,7
2023,SOUTH CAROLINA,45,"1,423","1,385"
2023,SOUTH DAKOTA,46,"17,222","16,420"
2023,TENNESSEE,47,"5,000","4,865"
2023,TEXAS,48,"22,135","13,559"
2023,UTAH,49,856,834
2023,VERMONT,50,254,245
2023,VIRGINIA,51,"2,583","2,458"
2023,WASHINGTON,53,"3,807","3,733"
2023,WEST VIRGINIA,54,654,649
2023,WISCONSIN,55,"7,875","7,400"
2023,WYOMING,56,"1,416","1,360"
2022,ALABAMA,1,"2,120","2,041"
2022,ALASKA,2,26,25
2022,ARIZONA,4,599,594
2022,ARKANSAS,5,"6,992","6,845"
2022,CALIFORNIA,6,"2,202","1,795"
2022,COLORADO,8,"5,664","4,721"
2022,CONNECTICUT,9,77,75
2022,DELAWARE,10,442,409
2022,FLORIDA,12,"1,068","1,054"
2022,GEORGIA,13,"3,396","3,206"
2022,HAWAII,15,,
2022,IDAHO,16,"4,071","3,932"
2022,ILLINOIS,17,"22,805","22,535"
2022,INDIANA,18,"11,910","11,820"
2022,IOWA,19,"24,330","24,070"
2022,KANSAS,20,"24,101","21,906"
2022,KENTUCKY,21,"5,994","5,809"
2022,LOUISIANA,22,"3,218","3,141"
2022,MAINE,23,252,244
2022,MARYLAND,24,"1,558","1,331"
2022,MASSACHUSETTS,25,74,71
2022,MICHIGAN,26,"6,308","6,210"
2022,MINNESOTA,27,"19,100","18,815"
2022,MISSISSIPPI,28,"4,210","4,148"
2022,MISSOURI,29,"13,820","13,417"
2022,MONTANA,30,"9,396","8,571"
2022,NEBRASKA,31,"19,299","18,442"
2022,NEVADA,32,414,411
2022,NEW HAMPSHIRE,33,55,53
2022,NEW JERSEY,34,321,312
2022,NEW MEXICO,35,771,456
2022,NEW YORK,36,"2,837","2,736"
2022,NORTH CAROLINA,37,"4,425","4,250"
2022,NORTH DAKOTA,38,"21,616","21,144"
2022,OHIO,39,"9,890","9,740"
2022,OKLAHOMA,40,"9,666","6,762"
2022,OREGON,41,"1,733","1,692"
2022,PENNSYLVANIA,42,"3,723","3,398"
2022,RHODE ISLAND,44,9,9
2022,SOUTH CAROLINA,45,"1,462","1,407"
2022,SOUTH DAKOTA,46,"16,627","15,993"
2022,TENNESSEE,47,"4,960","4,830"
2022,TEXAS,48,"22,030","11,080"
2022,UTAH,49,880,851
2022,VERMONT,50,255,247
2022,VIRGINIA,51,"2,493","2,363"
2022,WASHINGTON,53,"3,585","3,514"
2022,WEST VIRGINIA,54,611,610
2022,WISCONSIN,55,"7,966","7,555"
2022,WYOMING,56,"1,442","1,395"
2021,ALABAMA,1,"2,125","2,043"
2021,ALASKA,2,25,24
2021,ARIZONA,4,607,602
2021,ARKANSAS,5,"7,020","6,872"
2021,CALIFORNIA,6,"2,391","1,983"
2021,COLORADO,8,"6,235","5,760"
2021,CONNECTICUT,9,70,68
2021,DELAWARE,10,422,388
2021,FLORIDA,12,"1,077","1,063"
2021,GEORGIA,13,"3,393","3,193"
2021,HAWAII,15,,
2021,IDAHO,16,"4,051","3,885"
2021,ILLINOIS,17,"22,830","22,565"
2021,INDIANA,18,"11,930","11,830"
2021,IOWA,19,"24,390","24,132"
2021,KANSAS,20,"24,421","23,781"
2021,KENTUCKY,21,"6,078","5,888"
2021,LOUISIANA,22,"3,055","3,010"
2021,MAINE,23,238,227
2021,MARYLAND,24,"1,537","1,322"
2021,MASSACHUSETTS,25,69,66
2021,MICHIGAN,26,"6,376","6,242"
2021,MINNESOTA,27,"19,471","19,029"
2021,MISSISSIPPI,28,"4,233","4,114"
2021,MISSOURI,29,"13,644","13,299"
2021,MONTANA,30,"9,364","7,956"
2021,NEBRASKA,31,"19,810","19,451"
2021,NEVADA,32,355,354
2021,NEW HAMPSHIRE,33,55,53
2021,NEW JERSEY,34,299,290
2021,NEW MEXICO,35,785,473
2021,NEW YORK,36,"2,744","2,664"
2021,NORTH CAROLINA,37,"4,398","4,227"
2021,NORTH DAKOTA,38,"24,085","22,789"
2021,OHIO,39,"9,945","9,785"
2021,OKLAHOMA,40,"9,553","7,679"
2021,OREGON,41,"1,815","1,770"
2021,PENNSYLVANIA,42,"3,740","3,384"
2021,RHODE ISLAND,44,9,9
2021,SOUTH CAROLINA,45,"1,476","1,427"
2021,SOUTH DAKOTA,46,"16,693","15,934"
2021,TENNESSEE,47,"4,952","4,822"
2021,TEXAS,48,"22,797","17,841"
2021,UTAH,49,868,839
2021,VERMONT,50,245,237
2021,VIRGINIA,51,"2,495","2,346"
2021,WASHINGTON,53,"3,715","3,595"
2021,WEST VIRGINIA,54,569,567
2021,WISCONSIN,55,"8,099","7,581"
2021,WYOMING,56,"1,282","1,244"
2020,ALABAMA,1,"2,130","2,049"
2020,ALASKA,2,28,27
2020,ARIZONA,4,579,571
2020,ARKANSAS,5,"6,891","6,763"
2020,CALIFORNIA,6,"2,660","2,223"
2020,COLORADO,8,"5,746","5,029"
2020,CONNECTICUT,9,70,68
2020,DELAWARE,10,440,412
2020,FLORIDA,12,"1,097","1,079"
2020,GEORGIA,13,"3,368","3,178"
2020,HAWAII,15,,
2020,IDAHO,16,"4,112","3,961"
2020,ILLINOIS,17,"22,720","22,485"
2020,INDIANA,18,"11,950","11,860"
2020,IOWA,19,"24,380","23,763"
2020,KANSAS,20,"23,519","22,696"
2020,KENTUCKY,21,"6,074","5,879"
2020,LOUISIANA,22,"3,088","3,034"
2020,MAINE,23,226,218
2020,MARYLAND,24,"1,554","1,306"
2020,MASSACHUSETTS,25,74,72
2020,MICHIGAN,26,"6,359","6,250"
2020,MINNESOTA,27,"19,354","18,978"
2020,MISSISSIPPI,28,"4,009","3,939"
2020,MISSOURI,29,"13,408","13,141"
2020,MONTANA,30,"9,920","9,584"
2020,NEBRASKA,31,"19,780","19,471"
2020,NEVADA,32,333,333
2020,NEW HAMPSHIRE,33,55,54
2020,NEW JERSEY,34,305,296
2020,NEW MEXICO,35,745,498
2020,NEW YORK,36,"2,616","2,549"
2020,NORTH CAROLINA,37,"4,322","4,119"
2020,NORTH DAKOTA,38,"20,905","20,315"
2020,OHIO,39,"9,945","9,785"
2020,OKLAHOMA,40,"9,196","7,030"
2020,OREGON,41,"1,920","1,875"
2020,PENNSYLVANIA,42,"4,042","3,787"
2020,RHODE ISLAND,44,7,7
2020,SOUTH CAROLINA,45,"1,400","1,344"
2020,SOUTH DAKOTA,46,"15,531","15,134"
2020,TENNESSEE,47,"4,851","4,736"
2020,TEXAS,48,"21,876","14,548"
2020,UTAH,49,946,921
2020,VERMONT,50,252,247
2020,VIRGINIA,51,"2,636","2,490"
2020,WASHINGTON,53,"3,681","3,603"
2020,WEST VIRGINIA,54,591,590
2020,WISCONSIN,55,"8,110","7,608"
2020,WYOMING,56,"1,433","1,370"
2019,ALABAMA,1,"2,115","2,050"
2019,ALASKA,2,28,27
2019,ARIZONA,4,634,625
2019,ARKANSAS,5,"6,598","6,417"
2019,CALIFORNIA,6,"2,941","2,542"
2019,COLORADO,8,"6,091","5,799"
2019,CONNECTICUT,9,70,68
2019,DELAWARE,10,435,415
2019,FLORIDA,12,"1,072","1,059"
2019,GEORGIA,13,"3,354","3,152"
2019,HAWAII,15,,
2019,IDAHO,16,"4,107","3,956"
2019,ILLINOIS,17,"21,590","21,210"
2019,INDIANA,18,"11,250","11,070"
2019,IOWA,19,"23,935","23,619"
2019,KANSAS,20,"23,113","22,268"
2019,KENTUCKY,21,"5,712","5,552"
2019,LOUISIANA,22,"3,025","2,952"
2019,MAINE,23,229,222
2019,MARYLAND,24,"1,556","1,346"
2019,MASSACHUSETTS,25,65,62
2019,MICHIGAN,26,"5,541","5,345"
2019,MINNESOTA,27,"18,349","17,849"
2019,MISSISSIPPI,28,"3,822","3,720"
2019,MISSOURI,29,"12,827","12,367"
2019,MONTANA,30,"9,946","9,403"
2019,NEBRASKA,31,"19,176","18,777"
2019,NEVADA,32,450,447
