YEAR,STATE,State ANSI,"CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $",1000ACRES_PLANTED,1000ACRES_HARVESTED,YIELD_CORN,
2025,ALABAMA,1,,"1,960","1,891",,
2025,ALASKA,2,,30,29,,DECIDING MEASURE OF IMPACT
2025,ARIZONA,4,,558,554,,$/acres harvested - not all states grow the same crops and some may be higher value than others
2025,ARKANSAS,5,,"6,632","6,515",,Harvest Share = Harvested Acres/Planted Acres
2025,CALIFORNIA,6,,"2,254","2,046",,Corn Yield - Correlated with year AFTER snowpack measures
2025,COLORADO,8,,"5,807","5,450",,
2025,CONNECTICUT,9,,68,64,,
2025,DELAWARE,10,,398,376,,
2025,FLORIDA,12,,"1,052","1,038",,
2025,GEORGIA,13,,"3,180","2,980",,
2025,HAWAII,15,,,,,
2025,IDAHO,16,,"4,056","3,917",,
2025,ILLINOIS,17,,"22,780","22,484",,
2025,INDIANA,18,,"11,720","11,580",,
2025,IOWA,19,,"24,130","23,890",,
2025,KANSAS,20,,"23,957","23,073",,
2025,KENTUCKY,21,,"6,134","5,934",,
2025,LOUISIANA,22,,"3,112","3,050",,
2025,MAINE,23,,232,225,,
2025,MARYLAND,24,,"1,456","1,273",,
2025,MASSACHUSETTS,25,,63,60,,
2025,MICHIGAN,26,,"6,205","6,105",,
2025,MINNESOTA,27,,"19,806","19,414",,
2025,MISSISSIPPI,28,,"3,860","3,779",,
2025,MISSOURI,29,,"13,620","13,289",,
2025,MONTANA,30,,"8,895","8,254",,
2025,NEBRASKA,31,,"19,542","19,112",,
2025,NEVADA,32,,371,369,,
2025,NEW HAMPSHIRE,33,,48,46,,
2025,NEW JERSEY,34,,276,273,,
2025,NEW MEXICO,35,,768,541,,
2025,NEW YORK,36,,"2,599","2,510",,
2025,NORTH CAROLINA,37,,"4,043","3,890",,
2025,NORTH DAKOTA,38,,"24,231","23,691",,
2025,OHIO,39,,"9,740","9,620",,
2025,OKLAHOMA,40,,"9,515","7,846",,
2025,OREGON,41,,"1,727","1,702",,
2025,PENNSYLVANIA,42,,"3,245","2,932",,
2025,RHODE ISLAND,44,,8,7,,
2025,SOUTH CAROLINA,45,,"1,345","1,295",,
2025,SOUTH DAKOTA,46,,"17,197","16,576",,
2025,TENNESSEE,47,,"4,753","4,598",,
2025,TEXAS,48,,"21,573","16,542",,
2025,UTAH,49,,866,842,,
2025,VERMONT,50,,253,242,,
2025,VIRGINIA,51,,"2,431","2,319",,
2025,WASHINGTON,53,,"3,732","3,642",,
2025,WEST VIRGINIA,54,,656,654,,
2025,WISCONSIN,55,,"8,080","7,674",,
2025,WYOMING,56,,"1,247","1,192",,
2024,ALABAMA,1,"873,439,000","2,030","1,958",112,
2024,ALASKA,2,"14,635,000",30,28,,
2024,ARIZONA,4,"2,027,286,000",562,558,225,
2024,ARKANSAS,5,"4,667,763,000","7,053","6,934",187,
2024,CALIFORNIA,6,"36,636,076,000","2,484","2,208",182,
2024,COLORADO,8,"2,048,721,000","5,951","5,484",116,
2024,CONNECTICUT,9,"21,361,000",74,70,(NA),
2024,DELAWARE,10,"224,547,000",421,392,171,
2024,FLORIDA,12,"3,574,967,000","1,050","1,034",141,
2024,GEORGIA,13,"2,966,255,000","3,185","2,993",163,
2024,HAWAII,15,"102,667,000",,,,
2024,IDAHO,16,"3,790,534,000","4,137","4,003",206,
2024,ILLINOIS,17,"17,299,688,000","22,865","22,652",217,
2024,INDIANA,18,"8,387,942,000","11,790","11,680",198,
2024,IOWA,19,"17,525,940,000","24,095","23,823",211,
2024,KANSAS,20,"7,676,004,000","23,899","22,836",129,
2024,KENTUCKY,21,"3,309,767,000","6,112","5,902",178,
2024,LOUISIANA,22,"2,662,206,000","3,091","3,000",185,
2024,MAINE,23,"390,802,000",232,223,(NA),
2024,MARYLAND,24,"654,775,000","1,486","1,299",143,
2024,MASSACHUSETTS,25,"98,695,000",63,60,(NA),
2024,MICHIGAN,26,"4,642,892,000","6,186","6,093",181,
2024,MINNESOTA,27,"11,246,759,000","19,221","18,851",174,
2024,MISSISSIPPI,28,"2,580,250,000","4,151","4,076",186,
2024,MISSOURI,29,"7,170,339,000","13,628","13,298",183,
2024,MONTANA,30,"2,406,770,000","9,457","8,940",85,
2024,NEBRASKA,31,"12,140,468,000","19,467","19,029",188,
2024,NEVADA,32,"214,170,000",370,367,(NA),
2024,NEW HAMPSHIRE,33,"19,902,000",51,50,(NA),
2024,NEW JERSEY,34,"313,826,000",272,264,157,
2024,NEW MEXICO,35,"687,726,000",807,563,157,
2024,NEW YORK,36,"1,762,168,000","2,733","2,680",169,
2024,NORTH CAROLINA,37,"2,679,349,000","4,228","4,014",87,
2024,NORTH DAKOTA,38,"9,548,160,000","23,305","22,805",149,
2024,OHIO,39,"5,639,147,000","9,860","9,725",177,
2024,OKLAHOMA,40,"1,692,596,000","9,815","7,738",98,
2024,OREGON,41,"2,528,185,000","1,895","1,853",208,
2024,PENNSYLVANIA,42,"1,579,552,000","3,379","3,109",138,
2024,RHODE ISLAND,44,"1,777,000",8,7,(NA),
2024,SOUTH CAROLINA,45,"788,330,000","1,382","1,317",101,
2024,SOUTH DAKOTA,46,"7,013,971,000","16,836","16,232",164,
2024,TENNESSEE,47,"2,155,649,000","4,823","4,713",152,
2024,TEXAS,48,"6,396,999,000","21,194","14,649",112,
2024,UTAH,49,"475,158,000",910,888,167,
2024,VERMONT,50,"145,294,000",244,235,(NA),
2024,VIRGINIA,51,"1,075,304,000","2,347","2,176",114,
2024,WASHINGTON,53,"6,658,972,000","3,709","3,639",235,
2024,WEST VIRGINIA,54,"147,266,000",648,640,110,
2024,WISCONSIN,55,"4,639,465,000","7,968","7,517",174,
2024,WYOMING,56,"446,178,000","1,192","1,143",155,
2023,ALABAMA,1,"1,164,944,000","2,120","2,034",164,
2023,ALASKA,2,"13,900,000",27,26,,
2023,ARIZONA,4,"2,424,133,000",597,592,206,
2023,ARKANSAS,5,"5,459,837,000","7,211","7,072",183,
2023,CALIFORNIA,6,"36,396,425,000","2,411","2,044",178,
2023,COLORADO,8,"2,337,027,000","5,950","5,245",122,
2023,CONNECTICUT,9,"16,126,000",77,73,(NA),
2023,DELAWARE,10,"278,512,000",438,415,189,
2023,FLORIDA,12,"3,958,517,000","1,087","1,073",158,
2023,GEORGIA,13,"3,453,593,000","3,296","3,115",174,
2023,HAWAII,15,"86,164,000",,,,
2023,IDAHO,16,"4,552,042,000","4,057","3,852",203,
2023,ILLINOIS,17,"18,884,183,000","22,855","22,647",206,
2023,INDIANA,18,"9,578,183,000","11,885","11,775",203,
2023,IOWA,19,"19,154,976,000","24,250","23,915",201,
2023,KANSAS,20,"7,477,896,000","25,024","21,505",119,
2023,KENTUCKY,21,"3,903,200,000","6,147","5,967",187,
