YEAR,WEEK,WEEK_END,MONTH,STATE,PCT_ADEQUATE,PCT_SHORT,PCT_SURPLUS,PCT_VERYSHORT
2024,WEEK_01,1/7/2024,JANUARY,FLORIDA,70,14,15,1
2024,WEEK_02,1/14/2024,JANUARY,FLORIDA,69,8,22,1
2024,WEEK_03,1/21/2024,JANUARY,FLORIDA,73,7,19,1
2024,WEEK_03,1/21/2024,JANUARY,TEXAS,45,31,8,16
2024,WEEK_04,1/28/2024,JANUARY,ARIZONA,70,9,12,9
2024,WEEK_04,1/28/2024,JANUARY,ARKANSAS,20,4,75,1
2024,WEEK_04,1/28/2024,JANUARY,CALIFORNIA,75,5,20,0
2024,WEEK_04,1/28/2024,JANUARY,COLORADO,63,12,14,11
2024,WEEK_04,1/28/2024,JANUARY,FLORIDA,77,6,17,0
2024,WEEK_04,1/28/2024,JANUARY,ILLINOIS,57,4,39,0
2024,WEEK_04,1/28/2024,JANUARY,INDIANA,59,7,33,1
2024,WEEK_04,1/28/2024,JANUARY,KANSAS,65,16,15,4
2024,WEEK_04,1/28/2024,JANUARY,LOUISIANA,46,15,39,0
2024,WEEK_04,1/28/2024,JANUARY,MICHIGAN,45,2,53,0
2024,WEEK_04,1/28/2024,JANUARY,MISSISSIPPI,58,7,34,1
2024,WEEK_04,1/28/2024,JANUARY,MISSOURI,65,15,19,1
2024,WEEK_04,1/28/2024,JANUARY,MONTANA,30,54,2,14
2024,WEEK_04,1/28/2024,JANUARY,NEBRASKA,69,21,5,5
2024,WEEK_04,1/28/2024,JANUARY,NEVADA,35,0,65,0
2024,WEEK_04,1/28/2024,JANUARY,NEW MEXICO,20,43,0,37
2024,WEEK_04,1/28/2024,JANUARY,NORTH CAROLINA,56,1,43,0
2024,WEEK_04,1/28/2024,JANUARY,NORTH DAKOTA,60,30,2,8
2024,WEEK_04,1/28/2024,JANUARY,OHIO,36,1,62,1
2024,WEEK_04,1/28/2024,JANUARY,OKLAHOMA,73,4,21,2
2024,WEEK_04,1/28/2024,JANUARY,SOUTH DAKOTA,73,19,2,6
2024,WEEK_04,1/28/2024,JANUARY,TENNESSEE,38,2,60,0
2024,WEEK_04,1/28/2024,JANUARY,TEXAS,43,25,21,11
2024,WEEK_04,1/28/2024,JANUARY,UTAH,82,3,15,0
2024,WEEK_04,1/28/2024,JANUARY,VIRGINIA,56,2,42,0
2024,WEEK_04,1/28/2024,JANUARY,WEST VIRGINIA,37,3,58,2
2024,WEEK_04,1/28/2024,JANUARY,WYOMING,41,47,0,12
2024,WEEK_05,2/4/2024,FEBRUARY,FLORIDA,81,7,12,0
2024,WEEK_05,2/4/2024,FEBRUARY,TEXAS,58,20,15,7
2024,WEEK_06,2/11/2024,FEBRUARY,FLORIDA,75,11,13,1
2024,WEEK_06,2/11/2024,FEBRUARY,TEXAS,56,19,18,7
2024,WEEK_07,2/18/2024,FEBRUARY,FLORIDA,71,10,18,1
2024,WEEK_07,2/18/2024,FEBRUARY,TEXAS,55,22,14,9
2024,WEEK_08,2/25/2024,FEBRUARY,ARIZONA,63,12,12,13
2024,WEEK_08,2/25/2024,FEBRUARY,ARKANSAS,68,2,29,1
2024,WEEK_08,2/25/2024,FEBRUARY,CALIFORNIA,75,0,25,0
2024,WEEK_08,2/25/2024,FEBRUARY,COLORADO,65,17,13,5
2024,WEEK_08,2/25/2024,FEBRUARY,FLORIDA,79,10,11,0
2024,WEEK_08,2/25/2024,FEBRUARY,ILLINOIS,69,26,2,3
2024,WEEK_08,2/25/2024,FEBRUARY,INDIANA,67,13,18,2
2024,WEEK_08,2/25/2024,FEBRUARY,KANSAS,67,26,3,4
2024,WEEK_08,2/25/2024,FEBRUARY,LOUISIANA,83,7,9,1
2024,WEEK_08,2/25/2024,FEBRUARY,MICHIGAN,66,12,21,1
2024,WEEK_08,2/25/2024,FEBRUARY,MISSISSIPPI,72,12,15,1
2024,WEEK_08,2/25/2024,FEBRUARY,MISSOURI,73,24,0,3
2024,WEEK_08,2/25/2024,FEBRUARY,MONTANA,48,45,0,7
2024,WEEK_08,2/25/2024,FEBRUARY,NEBRASKA,61,30,2,7
2024,WEEK_08,2/25/2024,FEBRUARY,NEVADA,35,0,65,0
2024,WEEK_08,2/25/2024,FEBRUARY,NEW MEXICO,19,39,1,41
2024,WEEK_08,2/25/2024,FEBRUARY,NORTH CAROLINA,86,9,3,2
2024,WEEK_08,2/25/2024,FEBRUARY,NORTH DAKOTA,48,36,2,14
2024,WEEK_08,2/25/2024,FEBRUARY,OHIO,70,4,26,0
2024,WEEK_08,2/25/2024,FEBRUARY,OKLAHOMA,79,15,4,2
2024,WEEK_08,2/25/2024,FEBRUARY,SOUTH DAKOTA,69,24,2,5
2024,WEEK_08,2/25/2024,FEBRUARY,TENNESSEE,76,4,20,0
2024,WEEK_08,2/25/2024,FEBRUARY,TEXAS,56,27,6,11
