,stationTriplet,latitude,longitude,huc
19,907:UT:SNTL,37.52217,-112.27118,160300020301
28,916:MT:SNTL,45.59723,-111.95902,100200050701
33,1346:AK:SNTLT,59.27909,-158.58324,190303040505
34,1267:AK:SNTL,61.7493,-150.89199,190205051106
44,908:WA:SNTL,47.77957,-121.69847,171100100501
48,1344:CO:SNTL,37.88929,-107.84484,140300030103
49,1239:CA:SNTLT,41.99617,-123.547,171003110302
52,1198:NV:SNTLT,40.53373,-115.45768,160401030901
54,1189:AK:SNTL,64.78969,-141.23376,190705050504
61,1070:AK:SNTL,61.11315,-149.68345,190204010601
67,2065:AK:SNTL,61.58337,-159.57708,190305020504
70,1000:OR:SNTL,42.87007,-122.16518,180102030101
77,1245:OR:SNTLT,44.9591,-118.22668,170502030503
83,1030:CO:SNTL,40.35098,-106.38141,140100010604
104,1165:MT:SNTLT,48.20161,-114.51495,170102080108
116,1308:UT:SNTL,40.59124,-111.63775,160202040202
133,1140:AZ:SNTL,34.45552,-111.38262,150602030103
140,1240:NV:SNTLT,41.82168,-119.63712,160402040301
142,447:OR:SNTLT,45.21158,-117.6626,170601040504
150,1212:AZ:SNTL,34.86142,-111.60497,150602020601
158,1246:OR:SNTLT,44.36069,-118.31114,170502020202
167,1190:MT:SNTL,47.85562,-114.75841,170102120105
171,1295:ID:SNTLT,42.47694,-116.32576,170501040905
185,1291:OR:SNTLT,42.41655,-120.47043,171200060105
187,1166:OR:SNTL,44.3253,-122.0938,170900040203
197,1061:CO:SNTL,40.06152,-107.00948,140500010102
198,992:UT:SNTL,40.8852,-110.8277,160101010106
207,1041:CO:SNTL,39.59871,-106.51113,140100030301
217,902:AZ:SNTL,33.69115,-109.21685,150601010107
218,990:WA:SNTL,48.8793,-121.2555,171100050605
223,1143:AZ:SNTL,36.32671,-109.05702,140802040401
261,1214:UT:SNTL,40.46182,-112.25233,160203040401
277,931:WY:SNTL,44.57922,-107.20068,100901010103
299,1229:OR:SNTLT,45.16842,-117.08631,170601020301
322,1155:NV:SNTL,39.46138,-114.64863,160600081304
338,1185:CO:SNTL,37.78968,-108.18376,140300020103
340,1161:CO:SNTL,40.8879,-105.66404,101900070501
351,1119:WY:SNTL,41.05623,-106.714,101800020504
353,1162:UT:SNTL,40.95814,-110.5828,140401070303
358,1144:MT:SNTL,47.98317,-114.35443,170102080302
388,1278:UT:SNTL,38.94569,-112.15349,160300051401
393,978:ID:SNTL,43.76377,-116.09685,170501220201
442,1156:UT:SNTL,38.49746,-112.00779,160300020107
452,365:MT:SNTL,45.89107,-110.93851,100700030403
463,1154:UT:SNTL,37.67994,-112.85674,160300060201
470,1111:NV:SNTL,36.31575,-115.69543,150100150206
477,1080:WA:SNTL,48.92753,-121.19717,171100050601
491,1341:WA:SNTLT,48.42909,-119.85225,170200062202
492,1192:UT:SNTL,40.84456,-110.66068,140401070301
493,1333:OR:SNTLT,43.02795,-118.41225,171200010601
496,1153:UT:SNTL,37.86943,-109.44717,140802030103
499,1107:WA:SNTL,47.7086,-123.45747,171100200501
501,938:CO:SNTL,39.30378,-106.11316,101900010102
502,1292:OR:SNTLT,43.02503,-118.94785,171200030206
512,913:CO:SNTL,40.22838,-106.5962,140100010706
514,1293:ID:SNTLT,42.35673,-116.95906,170501041703
536,1051:CA:SNTL,38.71943,-119.8942,160502010107
538,942:WA:SNTL,47.0444,-121.94032,171100140103
539,981:MT:SNTL,45.2401,-109.45961,100700060802
543,1135:UT:SNTL,40.98492,-110.85075,160101010105
562,1109:WA:SNTL,45.90362,-122.21633,170800020603
564,1289:OR:SNTLT,43.81191,-118.78565,171200010201
573,382:ID:SNTL,43.26548,-115.3453,170402200101
598,1067:CA:SNTL,38.6927,-120.0022,180201290101
607,387:CO:SNTL,37.65751,-107.80287,140801040201
608,1039:UT:SNTL,40.283,-111.60992,160202030505
614,1130:WY:SNTL,43.6748,-109.3774,100800010401
616,1326:CO:SNTL,39.00074,-106.83912,140100040202
622,1152:NV:SNTL,39.16337,-114.6133,160600080402
624,1085:WA:SNTL,46.86956,-121.53434,171100140301
638,1139:AZ:SNTL,35.26238,-112.06221,150602020305
653,1101:CO:SNTL,39.2621,-106.62944,140100040504
665,1260:AK:SNTL,64.75793,-147.21823,190803060901
677,1312:MT:SNTL,48.06224,-115.69748,170102131301
693,1093:AK:SNTL,62.06947,-142.04919,190803010305
695,895:ID:SNTL,43.7685,-114.41812,170402190301
706,1046:WY:SNTL,41.23843,-106.23101,101800100503
734,983:UT:SNTL,37.9725,-111.83355,160300020501
771,1059:CO:SNTL,38.16273,-106.5988,130100040203
784,958:AK:SNTL,67.25333,-150.183,190901010604
785,982:WY:SNTL,44.48632,-104.41057,101202030302
799,1204:NV:SNTL,41.67167,-116.07033,170501050503
812,904:CO:SNTL,37.44146,-108.02468,140801050101
845,1209:NV:SNTL,38.99651,-115.42478,160600121206
850,1236:UT:SNTL,39.65795,-110.37906,140600070903
869,1281:CO:SNTLT,38.83416,-106.42116,140200010106
871,1306:ID:SNTL,43.51762,-114.80214,170501130204
882,1273:OR:SNTLT,42.36192,-120.60912,180200010205
900,1010:OR:SNTL,42.6381,-120.94917,180102020101
901,1302:AK:SNTL,64.86534,-147.73617,190803060908
914,1045:WY:SNTL,41.22824,-105.38571,101900090104
915,977:CA:SNTL,41.89318,-120.75202,180102040103
940,1303:AK:SNTL,66.94517,-156.90318,190503021508
976,1319:WA:SNTL,48.23594,-121.455,171100060403
985,923:WY:SNTL,42.59076,-108.90273,100800030101
986,1345:WA:SNTL,48.3325,-121.72133,171100080103
990,1210:NV:SNTL,39.08527,-114.89977,160600081002
1047,1337:OR:SNTLT,42.1284,-121.12085,180102040402
1076,1243:NV:SNTL,40.8638,-115.22014,160401010601
1079,906:UT:SNTL,40.56533,-112.17343,160202040106
1094,943:WA:SNTL,47.8722,-123.07879,171100200301
1120,960:AK:SNTL,65.48588,-145.41212,190804010801
1124,1105:MT:SNTL,45.50381,-110.08019,100700020701
1147,998:WA:SNTL,48.85933,-121.43895,171100010101
1149,936:CO:SNTL,39.65539,-105.59358,101900020801
